protocol,fold,hard_class,recall_before,recall_after,trigger_rate
random_grouped,random,0,0.0,0.0,0.15625
random_grouped,random,8,0.525,0.425,0.15625
random_grouped,random,14,0.0,0.0,0.15625
random_grouped,random,19,0.025,0.6,0.15625
loco,condition_1,0,0.15,0.85,0.1725
loco,condition_1,8,0.6,0.4,0.1725
loco,condition_1,14,0.25,0.0,0.1725
loco,condition_1,19,0.1,0.0,0.1725
loco,condition_2,0,0.25,0.05,0.1475
loco,condition_2,8,0.65,0.65,0.1475
loco,condition_2,14,0.1,0.0,0.1475
loco,condition_2,19,0.2,0.7,0.1475
loco,condition_3,0,0.0,0.0,0.10275689223057644
loco,condition_3,8,0.7,0.7,0.10275689223057644
loco,condition_3,14,0.0,0.0,0.10275689223057644
loco,condition_3,19,0.0,0.0,0.10275689223057644
loco,condition_4,0,0.0,0.0,0.185
loco,condition_4,8,0.6,0.55,0.185
loco,condition_4,14,0.0,0.0,0.185
loco,condition_4,19,0.0,0.05,0.185
loco,condition_5,0,0.0,0.0,0.1375
loco,condition_5,8,0.1,0.1,0.1375
loco,condition_5,14,0.0,0.0,0.1375
loco,condition_5,19,0.0,0.0,0.1375
loco,condition_6,0,0.2,0.0,0.1325
loco,condition_6,8,0.7,0.6,0.1325
loco,condition_6,14,0.2,0.0,0.1325
loco,condition_6,19,0.1,0.65,0.1325
loco,condition_7,0,0.25,0.0,0.1675
loco,condition_7,8,0.95,0.9,0.1675
loco,condition_7,14,0.05,0.0,0.1675
loco,condition_7,19,0.15,0.9,0.1675
loco,condition_8,0,0.15,0.0,0.1525
loco,condition_8,8,0.85,0.8,0.1525
loco,condition_8,14,0.25,0.0,0.1525
loco,condition_8,19,0.15,0.85,0.1525
loco,condition_9,0,0.25,0.0,0.1725
loco,condition_9,8,0.85,0.65,0.1725
loco,condition_9,14,0.25,0.0,0.1725
loco,condition_9,19,0.15,0.9,0.1725
loco,condition_10,0,0.15,0.0,0.14
loco,condition_10,8,0.8,0.7,0.14
loco,condition_10,14,0.15,0.0,0.14
loco,condition_10,19,0.0,0.7,0.14
