condition,model,accuracy,macro_f1,balanced_accuracy
1,residual_tree,0.8425,0.824816444185662,0.8425
2,residual_tree,0.8525,0.8375177607274795,0.8525
3,residual_tree,0.7969924812030075,0.7657945582251722,0.795
4,residual_tree,0.76,0.7409520830187873,0.76
5,residual_tree,0.6675,0.6510180752033735,0.6675
6,residual_tree,0.845,0.8284972204116243,0.845
7,residual_tree,0.8725,0.8527530364372469,0.8724999999999999
8,residual_tree,0.8675,0.8473286675245058,0.8675
9,residual_tree,0.86,0.8436166173008279,0.86
10,residual_tree,0.8475,0.824712156368731,0.8474999999999999
