protocol,fold,model,accuracy,macro_f1,balanced_accuracy,num_files
random_grouped,random,pgm3f,0.61875,0.5965122501855541,0.6187499999999999,800
random_grouped,random,cnn,0.415,0.3583223735070637,0.4149999999999999,800
random_grouped,random,transformer,0.47625,0.44196301531778265,0.47624999999999995,800
random_grouped,random,raw_tf,0.48125,0.4241199157489192,0.48125,800
random_grouped,random,pinn_xgboost,0.4660984848484849,0.4565074041365146,0.4660984848484849,0
loco,condition_1,pgm3f,0.52,0.4764201273319431,0.5199999999999999,400
loco,condition_2,pgm3f,0.4025,0.3491043520586603,0.4025,400
loco,condition_3,pgm3f,0.3283208020050125,0.2728799536704584,0.3275,399
loco,condition_4,pgm3f,0.2625,0.19718456744868035,0.2625,400
loco,condition_5,pgm3f,0.4475,0.4018410534565381,0.44749999999999995,400
loco,condition_6,pgm3f,0.405,0.3602589352367953,0.40499999999999997,400
loco,condition_7,pgm3f,0.44,0.42135639230727395,0.44000000000000006,400
loco,condition_8,pgm3f,0.5,0.43622438445948075,0.4999999999999999,400
loco,condition_9,pgm3f,0.425,0.390902438766859,0.425,400
loco,condition_10,pgm3f,0.39,0.3473689679852877,0.39,400
