protocol,fold,model,accuracy,macro_f1,balanced_accuracy,num_files
random_grouped,random,pgm3f,0.39,0.33743027587493085,0.39,800
random_grouped,random,cnn,0.32375,0.26683535620756776,0.32375000000000004,800
random_grouped,random,transformer,0.29875,0.2531099026956381,0.29874999999999996,800
random_grouped,random,raw_tf,0.28375,0.24423874778779822,0.28375,800
random_grouped,random,pinn_xgboost,0.46434343434343434,0.4536289152129231,0.4643434343434344,0
loco,condition_1,pgm3f,0.3,0.226268785300199,0.3,400
loco,condition_2,pgm3f,0.265,0.1888486156819818,0.265,400
loco,condition_3,pgm3f,0.3433583959899749,0.24632497834162956,0.34249999999999997,399
loco,condition_4,pgm3f,0.2375,0.1533885389148547,0.2375,400
loco,condition_5,pgm3f,0.32,0.222032213053379,0.32,400
loco,condition_6,pgm3f,0.2875,0.2315370801403856,0.2875,400
loco,condition_7,pgm3f,0.3425,0.28483915161036155,0.34249999999999997,400
loco,condition_8,pgm3f,0.255,0.18529149430275837,0.255,400
loco,condition_9,pgm3f,0.2675,0.18615589669958163,0.26749999999999996,400
loco,condition_10,pgm3f,0.295,0.22551418034423176,0.295,400
